s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
30,7,"(np.float64(2.0), np.float64(0.0))","(np.float64(4.142857142857143), np.float64(1.5735915849388862))",9.27755990098507e-21,3.7905826384228595e-35,7,100.0,7
60,6,"(np.float64(2.0), np.float64(0.0))","(np.float64(3.6666666666666665), np.float64(1.632993161855452))",5.807915085691628e-41,7.403877248046334e-76,6,100.0,6
300,5,"(np.float64(2.0), np.float64(0.0))","(np.float64(4.0), np.float64(1.5811388300841898))",2.20753622998133e-188,0.0,5,100.0,5
600,8,"(np.float64(2.0), np.float64(0.0))","(np.float64(3.75), np.float64(1.4880476182856899))",1.330179996644789e-152,3.662614164455647e-301,8,100.0,8
