s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
30,50,"(np.float64(17.08), np.float64(21.767641215382817))","(np.float64(3.36), np.float64(0.59795570104161))",0.027122266900467255,0.9892955574548794,8,16.0,8
60,39,"(np.float64(18.76923076923077), np.float64(51.12598553339715))","(np.float64(2.6923076923076925), np.float64(0.6550952583944187))",0.017479174111629005,5.452812556798835e-10,22,56.41025641025641,22
300,2,"(np.float64(27.0), np.float64(35.35533905932738))","(np.float64(2.5), np.float64(0.7071067811865476))",0.025066774859524826,4.338979493589494e-13,2,100.0,2
600,3,"(np.float64(28.666666666666668), np.float64(6.506407098647712))","(np.float64(1.3333333333333333), np.float64(0.5773502691896257))",0.005012024242360107,4.1564529589077155e-44,3,100.0,3
