s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
4,20,"(np.float64(29.25), np.float64(23.781627141002865))","(np.float64(2.45), np.float64(0.5104177855340405))",5.136724902178357e-05,9.781948923977496e-47,18,90.0,18
6,18,"(np.float64(21.333333333333332), np.float64(21.85513804174042))","(np.float64(2.388888888888889), np.float64(0.5016313257045503))",1.240303586011252e-05,2.6336295300043776e-22,17,94.44444444444444,18
12,7,"(np.float64(23.857142857142858), np.float64(14.415600015591576))","(np.float64(2.4285714285714284), np.float64(0.5345224838248488))",5.973366206833773e-12,2.0482149080315243e-265,7,100.0,7
24,5,"(np.float64(22.6), np.float64(15.355780670483673))","(np.float64(2.6), np.float64(0.5477225575051661))",5.299894725958081e-26,0.0,5,100.0,5
48,4,"(np.float64(14.5), np.float64(11.958260743101398))","(np.float64(2.75), np.float64(0.5))",1.8029604708598455e-41,0.0,4,100.0,4
