ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
42,1,0,173,9,"[1139, 2230, 5655, 8917, 5003, 9080, 5818, 8428, 2393, 8265]",11.17,10.543,10.972,9.149172730915751e-13,6.671130589134924e-88,True
43,1,0,173,9,"[779, 8965, 5703, 2563, 5988, 5336, 2278, 9057, 8272, 2400]",11.207,10.601,11.107,6.918829794900445e-13,4.080446084114053e-89,True
44,1,1,173,6,"[726, 2102, 4875, 8137, 125, 4212, 7719]",14.095,10.795,13.372,4.326799671518234e-25,3.893307932692252e-147,True
45,1,3,173,9,"[580, 6746, 3280, 3481, 7026, 1315, 7191, 4173, 4789, 3725]",13.613,11.364,13.218,4.4525647953263956e-21,4.971456670108937e-171,True
46,1,7,173,9,"[535, 3455, 7677, 4574, 5415, 8678, 403, 1681, 6758, 1023]",14.499,11.932,14.102,7.436151943112964e-30,8.391966240388919e-259,True
0,4,"0,2,1,3",217,9,"[4606, 7868, 3627, 4280, 7542, 9173, 3831, 2445, 2241, 5911]",14.502,3.282,14.362,4.190421276456978e-96,0.0,True
1,3,"0,2,1",217,8,"[4547, 7809, 5240, 7646, 9114, 2386, 5077, 5852, 8502]",12.986,3.148,12.784,3.6179306095377406e-67,0.0,True
2,1,0,217,9,"[5505, 8767, 2080, 2732, 4853, 8115, 6157, 7462, 3507, 4200]",12.007,1.883,9.907,1.3625052045888883e-13,3.5377167718419887e-96,True
3,2,"0,1",217,9,"[5382, 8644, 2609, 6034, 2895, 5056, 2283, 8318, 8970, 2446]",12.148,2.88,11.378,7.882064531494214e-34,1.485050504806024e-298,True
4,1,0,217,9,"[5438, 8700, 2665, 6090, 2013, 5112, 2951, 6539, 4622, 6376]",11.644,2.083,11.313,4.4999459229240543e-14,5.462787532854587e-101,True
5,2,"0,1",217,9,"[5326, 8588, 2553, 5000, 8425, 5978, 2227, 5163, 2390, 8262]",9.556,3.227,8.995,1.3438291593985481e-33,3.0816404567155954e-296,True
6,1,0,217,9,"[5586, 8848, 2161, 2324, 5749, 8196, 9011, 8359, 2487, 5912]",6.032,2.682,4.945,4.681343714717705e-11,8.110478525823917e-71,True
7,4,"0,2,3,4",217,9,"[4726, 7988, 1953, 8641, 5379, 7213, 1301, 8315, 5868, 2443]",16.313,4.775,15.52,4.000917968841853e-102,0.0,True
8,1,0,217,9,"[5665, 8927, 2240, 5828, 2403, 9090, 8275, 8438, 5013, 5176]",6.395,2.99,5.037,1.0954949134037598e-10,3.994336109236862e-67,True
9,1,0,217,9,"[4909, 8171, 2136, 5072, 5561, 8334, 8823, 8497, 2299, 5235]",7.39,3.166,6.367,2.2518431985635184e-11,5.379262530101967e-74,True
10,2,"2,0",217,7,"[7924, 4662, 3683, 4173, 7598, 4295, 4438, 3887]",13.88,4.226,12.913,1.5444361322760682e-47,0.0,True
11,1,0,217,9,"[4783, 8045, 2010, 2663, 6088, 8698, 5435, 9024, 2979, 3672]",12.666,4.844,11.669,2.1628209361415798e-16,3.5937429582704e-124,True
12,1,0,217,8,"[3159, 6421, 2996, 6258, 6584, 2833, 5065, 8582, 4260]",10.301,4.613,8.925,3.697354107402017e-11,2.1880463908656017e-64,False
13,1,0,217,8,"[6319, 6482, 2894, 3057, 4565, 7705, 7827, 2282, 8480]",10.323,5.062,9.749,7.445867736372156e-12,1.191996759432795e-70,True
14,1,3,217,9,"[1528, 1691, 1854, 5605, 9030, 8215, 8378, 5116, 4953, 5768]",10.445,6.59,10.319,3.522331384017037e-31,4.7167568151680745e-272,True
15,1,3,217,9,"[1586, 1749, 5663, 1912, 8273, 9088, 2238, 8925, 5011, 5826]",10.063,6.787,9.703,1.1326025709842595e-30,5.573356111735626e-267,True
16,1,1,217,9,"[4382, 7644, 5075, 4545, 5238, 7807, 9153, 8337, 5728, 5891]",11.258,7.02,11.011,5.635062930543266e-21,5.1799917341123055e-170,True
17,1,2,217,8,"[7088, 3826, 4090, 12, 3335, 412, 238, 7883, 8678]",16.011,8.497,15.504,1.5003767596521641e-30,6.528902777732345e-239,True
18,1,2,217,9,"[1466, 8153, 4891, 2118, 5544, 8806, 1792, 4199, 77, 2281]",15.234,7.727,9.49,4.978186872717899e-22,1.499868950343461e-180,True
19,1,0,217,7,"[3238, 9273, 6663, 6836, 8600, 5338, 2790, 2565]",13.322,8.923,12.83,2.325990629260611e-12,1.3797279222684854e-66,True
20,1,2,217,7,"[3752, 7014, 164, 7503, 4303, 2868, 338, 4548]",15.886,8.073,14.9,7.969317172280288e-29,2.6199841849756722e-198,True
21,1,3,217,9,"[7369, 4107, 3418, 7128, 3866, 1152, 1705, 6221, 2786, 6110]",15.867,8.774,15.174,1.2205151775891192e-26,1.1769911739302193e-226,True
22,1,6,217,9,"[6911, 3649, 990, 7731, 510, 1337, 1213, 143, 7149, 2772]",17.034,8.786,16.733,1.5021470403885584e-51,0.0,True
23,1,0,217,9,"[4034, 3178, 3871, 2852, 6440, 3708, 7785, 4523, 3015, 6277]",11.286,9.546,10.746,3.392513706280612e-20,3.2400929677716937e-162,True
24,1,3,217,9,"[3976, 7238, 4211, 6749, 3487, 3732, 3324, 8665, 5403, 549]",15.634,9.575,15.048,7.105359401776842e-39,0.0,True
25,1,6,217,7,"[3571, 6833, 4223, 4060, 7404, 4523, 7648, 3142]",16.918,10.706,16.262,6.464982521328628e-40,4.9143786597956e-287,True
26,1,3,217,9,"[7313, 4051, 3361, 3567, 6809, 3806, 1813, 1099, 7072, 1649]",15.61,10.73,15.075,1.794632531134327e-26,5.560280756433222e-225,True
27,1,3,217,9,"[1410, 2062, 8749, 5487, 8097, 1736, 4835, 1573, 8913, 8260]",12.991,11.002,12.198,1.5240001186244036e-30,1.0844046473255942e-265,True
28,1,0,217,9,"[877, 8390, 8227, 2355, 5128, 5780, 2192, 4965, 8879, 5617]",11.602,11.047,11.41,2.418674922059744e-16,1.0993003814888956e-123,True
29,1,0,217,9,"[784, 8970, 8807, 5035, 5545, 5708, 8297, 2283, 947, 2405]",12.839,11.971,12.361,3.255232630688917e-16,2.1436884336694675e-122,True
30,1,0,217,9,"[638, 5521, 8783, 2096, 4869, 8131, 58, 7550, 3553, 2749]",14.363,12.483,13.618,2.4439152528034406e-15,1.2195589026720358e-113,True
31,1,1,217,9,"[726, 2102, 8137, 4875, 125, 5517, 8779, 4212, 6435, 7719]",16.206,12.504,15.522,2.88121975241057e-31,6.3256505528764875e-273,True
