s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
30,62,"(np.float64(22.838709677419356), np.float64(25.64012835214229))","(np.float64(3.5806451612903225), np.float64(1.0795929271808082))",5.373341070005892e-08,1.1558024515080793e-72,57,91.93548387096774,57
60,66,"(np.float64(10.196969696969697), np.float64(10.220973455023664))","(np.float64(3.4696969696969697), np.float64(1.153185514059568))",2.071475972713001e-11,7.0604340883144965e-53,58,87.87878787878788,58
300,42,"(np.float64(3.6904761904761907), np.float64(3.910511757652233))","(np.float64(3.5), np.float64(1.1529389804681456))",8.37105067043969e-36,3.412102330313926e-112,42,100.0,42
600,26,"(np.float64(2.4615384615384617), np.float64(1.0288155998338762))","(np.float64(3.5), np.float64(1.174734012447073))",2.56174938452966e-49,1.1136383027170027e-95,26,100.0,26
