ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,1,0,21,1,"[4289, 7551]",0.284,0.284,0.284,2.607828485801906e-10,2.541311132346057e-14,True
1,1,0,21,2,"[4697, 7959, 3718]",1.146,0.337,0.742,2.2799776241873516e-11,1.2740343674425381e-24,True
2,2,"0,1",21,3,"[4904, 8166, 2131, 7513]",1.322,0.455,0.874,7.771897651293773e-17,8.451717273197083e-55,True
3,1,0,21,10,"[4583, 7845, 4420, 7682, 5980, 8008, 9242, 4746, 8426, 8304, 8467]",1.327,0.358,1.175,6.124936091806996e-09,2.1697517347710415e-66,True
4,2,"2,0",21,1,"[4672, 7934]",0.501,0.501,0.501,3.3822085369636113e-25,4.2746505486605326e-44,True
5,2,"1,0",21,1,"[4820, 8082]",0.505,0.505,0.505,8.900629546372895e-19,2.9603380378317933e-31,True
6,1,0,21,1,"[4805, 8067]",0.374,0.374,0.374,3.3928244878674744e-12,4.30152688308862e-18,True
7,1,0,21,6,"[5537, 8799, 1480, 8820, 5558, 4977, 2133]",1.331,0.381,1.169,3.66760965098488e-09,6.263148281066803e-43,True
8,1,0,21,13,"[4771, 8033, 7544, 2447, 9338, 4282, 8441, 8482, 2284, 9175, 2243, 5709, 5913, 9134]",1.373,0.389,1.183,9.362407909216028e-13,5.386598876160397e-139,True
9,1,0,21,24,"[4648, 7910, 3751, 5260, 8522, 2324, 5056, 5097, 8359, 7992, 2487, 5749, 4240, 5423, 2161, 8930, 5831, 8318, 8685, 4730, 5015, 5912, 4363, 9093, 9256]",1.374,0.395,1.147,8.628517084511216e-09,3.0275628050488154e-154,True
10,1,0,21,10,"[4759, 8021, 4188, 4596, 9326, 8388, 6513, 6064, 5126, 4270, 7858]",1.36,0.423,1.315,3.9550944764114657e-10,1.7661203611462607e-79,True
11,3,"0,2,1",21,1,"[4660, 7922]",0.597,0.597,0.597,4.412006862310252e-31,7.273981845392194e-56,True
12,2,"0,2",21,1,"[4793, 8055]",0.551,0.551,0.551,4.659489393196921e-22,8.112907216337946e-38,True
13,2,"0,2",21,1,"[4624, 7886]",0.582,0.582,0.582,1.1690138209927761e-26,5.106685894529964e-47,True
14,1,0,21,13,"[5411, 8673, 5778, 3688, 2679, 8347, 2312, 2638, 9040, 2353, 8714, 2475, 3902, 5737]",1.373,0.458,1.23,2.4294751671819143e-08,3.381075988266358e-77,True
15,1,0,21,1,"[4549, 7811]",0.473,0.473,0.473,9.04638987935664e-09,3.058075446559724e-11,True
16,1,0,21,14,"[8243, 4981, 8569, 8406, 5307, 5144, 8732, 2208, 5470, 1484, 5541, 1464, 8803, 2534, 5797]",1.337,0.479,1.195,2.33684014988055e-07,2.6006465159454494e-68,True
17,1,0,21,2,"[5525, 8787, 8543]",1.318,0.5,0.909,8.128161263344194e-14,5.772531741224523e-32,True
18,1,0,21,11,"[4567, 4730, 7829, 4363, 7992, 4404, 7666, 5668, 5097, 6035, 8930, 2243]",1.374,0.502,1.105,7.3134841422806375e-09,7.944397417486995e-72,True
19,1,0,21,3,"[4685, 7947, 7988, 4726]",1.357,0.505,1.216,1.1337041487880578e-09,3.826795674424224e-26,True
20,1,0,21,23,"[9012, 5913, 9175, 5750, 5179, 8319, 5016, 2488, 5057, 8523, 8278, 2284, 3711, 6076, 8482, 8441, 2162, 2243, 2325, 7544, 5261, 8360, 9338, 4282]",1.348,0.507,1.069,1.0698079656150509e-08,1.816235750838806e-145,True
21,1,0,21,13,"[9053, 5791, 9379, 5954, 9216, 6117, 2366, 2529, 5628, 2692, 8237, 4975, 8890, 7421]",1.361,0.511,1.102,8.126723740678415e-08,7.424679849640446e-70,True
22,1,0,21,4,"[4608, 7870, 2447, 9338, 8482]",1.375,0.514,1.254,4.0930292987006e-12,4.5824114633163225e-45,True
23,1,0,21,5,"[5381, 8643, 2608, 4239, 6278, 2812]",1.297,0.515,1.101,1.2037882747237916e-07,1.7397192859393893e-27,True
24,1,0,21,13,"[4714, 7976, 7650, 8700, 5438, 2665, 871, 3980, 8914, 4184, 8017, 2553, 2778, 7854]",1.364,0.521,1.231,1.3314795542167247e-12,7.45713213236213e-137,True
25,1,0,21,14,"[5585, 8847, 5544, 9255, 5993, 2160, 8806, 5055, 8276, 5748, 5911, 5014, 9173, 2486, 9010]",1.35,0.522,1.213,3.8187213111730185e-07,4.114948728805698e-65,True
26,1,0,21,1,"[4873, 8135]",0.532,0.532,0.532,5.337595510153407e-10,1.0646112214846665e-13,True
27,1,0,21,6,"[5238, 8337, 8500, 5075, 5034, 5727, 2302]",1.356,0.546,0.996,1.913496505953835e-07,6.589363524139138e-31,True
28,1,0,21,18,"[2501, 8536, 2338, 5600, 8862, 8373, 2175, 5274, 5926, 5763, 9025, 8210, 5437, 8332, 4662, 5029, 8699, 7924, 8658]",1.332,0.559,1.122,2.0623520361192103e-08,4.0236850441019005e-108,True
29,1,2,21,1,"[3614, 6876]",0.574,0.574,0.574,1.816025914102272e-13,1.2323780009710544e-20,True
30,1,0,21,11,"[5203, 8465, 8302, 2267, 2430, 5040, 5855, 9240, 8506, 5692, 8424, 5325]",1.35,0.576,1.131,7.385644276355647e-08,8.937312724673738e-60,True
31,1,0,21,31,"[2591, 6057, 9319, 2428, 2632, 8626, 2265, 5323, 5853, 6016, 3896, 9156, 5690, 5201, 8463, 5894, 5731, 4059, 8993, 2469, 9115, 8585, 5364, 8300, 8952, 2754, 9278, 2306, 3651, 5486, 4181, 3692]",1.368,0.579,1.092,1.1153812976648641e-07,6.756844036554956e-165,True
32,1,0,21,12,"[6105, 9367, 5942, 3373, 4963, 5779, 9204, 9041, 2680, 6798, 5493, 6717, 2517]",1.37,0.585,1.058,4.503759162016607e-08,6.982948519227555e-68,True
33,1,0,21,6,"[6453, 6616, 3354, 3191, 7013, 3028, 8247]",1.325,0.586,0.937,6.953632627388385e-08,5.515332077594814e-34,True
34,1,0,21,1,"[1590, 1753]",0.588,0.588,0.588,1.076087877612515e-09,4.3270813827669903e-13,True
35,1,0,21,1,"[4440, 7702]",0.599,0.599,0.599,4.08258034637573e-12,6.228297291885008e-18,True
36,1,1,21,4,"[21, 107, 3612, 580, 39]",1.372,0.605,1.342,8.188499880942792e-13,1.468559516321027e-48,True
