ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,4,"0,2,3,1",130,1,"[4583, 7845]",2.297,2.297,2.297,7.239531019225519e-275,0.0,True
1,4,"0,2,3,1",130,1,"[4618, 7880]",2.489,2.489,2.489,3.318444671382887e-271,0.0,True
2,2,"0,2",130,1,"[4660, 7922]",1.78,1.78,1.78,1.93296419173237e-135,1.6512465430817564e-262,True
3,1,0,130,1,"[5515, 8777]",1.242,1.242,1.242,1.2889937200205455e-47,7.342871139628151e-87,True
4,3,"0,2,1",130,1,"[4549, 7811]",2.298,2.298,2.298,3.2313745397549038e-192,0.0,True
5,2,"0,2",130,1,"[4696, 7958]",1.869,1.869,1.869,1.7536748604288983e-135,1.359134561714725e-262,True
6,1,0,130,1,"[5474, 8736]",1.505,1.505,1.505,1.1506375981930028e-48,5.851152612035175e-89,True
7,2,"0,1",130,1,"[5417, 8679]",2.087,2.087,2.087,8.9858294128038e-119,3.568458440908563e-229,True
8,4,"0,2,1,3",130,1,"[4868, 8130]",2.891,2.891,2.891,1.5371766821045848e-226,0.0,True
9,1,0,130,2,"[5564, 8826, 2139]",3.217,1.971,2.594,1.7096758102473573e-40,6.92009734640034e-109,True
10,1,0,130,3,"[5211, 8473, 2438, 8310]",3.119,1.977,2.89,1.367932826112283e-43,1.1393355446215277e-157,True
11,1,0,130,2,"[6006, 9268, 2581]",2.916,2.054,2.485,1.733156401630931e-41,7.209151787213553e-112,True
12,2,"0,1",130,2,"[4907, 8169, 2134]",3.287,2.539,2.913,6.131715703740011e-94,3.1923972987989567e-269,True
13,2,"0,1",130,2,"[5383, 8645, 2610]",3.401,2.597,2.999,1.879698095266763e-105,9.196767487182866e-304,True
14,1,0,130,5,"[5682, 8944, 2257, 5845, 2420, 9107]",3.217,2.077,2.92,2.0051970730182647e-42,6.226419045388344e-230,True
15,1,0,130,1,"[5349, 8611]",2.096,2.096,2.096,6.651489493097875e-45,1.9552492260728719e-81,True
16,1,0,130,2,"[5260, 8522, 2487]",3.062,2.143,2.602,3.9518400987807173e-44,8.546120138281574e-120,True
17,1,0,130,3,"[5601, 8863, 2176, 2339]",3.38,2.144,3.173,1.8343450610947257e-41,3.683975217223193e-149,True
18,1,0,130,5,"[5165, 8427, 8264, 2392, 5002, 2229]",3.185,2.152,3.15,1.0807621153011845e-43,1.5264291454003873e-237,True
19,1,0,130,2,"[5301, 8563, 2528]",3.329,2.198,2.764,1.6169458118641709e-43,5.8540617630346185e-118,True
20,1,0,130,3,"[5051, 8313, 2278, 8476]",3.321,2.207,3.282,4.244337352090552e-44,1.055922741231382e-159,True
21,1,0,130,3,"[5097, 8359, 2324, 8196]",3.351,2.228,3.004,2.5263400570143667e-43,1.3254391482601082e-156,True
22,1,0,130,2,"[5958, 9220, 2533]",2.864,2.231,2.548,3.6929166908271685e-41,6.973959710236689e-111,True
23,1,0,130,4,"[5635, 8897, 2210, 2373, 5798]",3.378,2.267,3.063,3.60421221590202e-41,3.719715880957818e-185,True
24,1,0,130,2,"[5913, 9175, 2488]",2.727,2.304,2.516,1.5643892100726536e-41,5.301580233514111e-112,True
25,1,0,130,3,"[5764, 9026, 2339, 8863]",3.231,2.345,3.191,1.0282976323727153e-42,3.6380436410260816e-154,True
26,1,0,130,3,"[5131, 8393, 8230, 2358]",3.371,2.393,2.943,8.07168183377279e-45,1.3811749718166058e-162,True
27,1,0,130,4,"[5723, 8985, 5886, 2298, 2461]",3.25,2.408,3.08,1.5343633592053848e-42,5.2011465649702346e-192,True
28,1,0,130,1,"[6055, 2630]",2.671,2.671,2.671,5.084539718599349e-43,1.1425299472726815e-77,False
29,2,"0,2",130,1,"[4730, 7992]",3.199,3.199,3.199,1.6332177303131176e-135,1.1788335184021732e-262,True
