ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
10,1,0,8,120,"[3022, 3827, 6590, 6488, 2655, 3287, 5193, 5917, 5978, 3878, 7884, 7109, 4031, 5356, 3226, 4622, 9352, 3134, 6080, 6753, 8486, 4245, 3674, 5458, 6651, 3267, 2981, 5234, 9077, 9016, 3847, 1248, 2818, 4632, 2288, 5397, 4123, 7089, 4815, 4561, 2084, 5509, 9342, 7059, 5754, 6427, 3328, 8771, 7915, 8323, 8455, 5224, 4306, 7609, 4408, 2043, 2023, 8496, 3715, 5132, 2624, 5448, 6529, 1881, 382, 2675, 2920, 3083, 6692, 8292, 8618, 9189, 2492, 8659, 6396, 4398, 2900, 3338, 8333, 7660, 4082, 7670, 6559, 2961, 2839, 3063, 7823, 7782, 2461, 8027, 2910, 7894, 6600, 8863, 4653, 6417, 6447, 8394, 3165, 2859, 4459, 8077, 5927, 6845, 2298, 6498, 3002, 7534, 2339, 2257, 2553, 4724, 7721, 5142, 5061, 5601, 1931, 6641, 6763, 2451, 5183]",0.846,0.105,0.675,0.0008289214878729022,4.872626502445562e-168,True
11,1,0,8,108,"[1001, 4640, 7464, 717, 205, 7902, 1459, 1675, 8757, 7943, 9493, 4854, 1073, 602, 7523, 919, 1114, 7016, 6894, 6996, 7451, 1797, 1602, 2875, 4446, 6984, 3743, 4456, 7138, 8881, 2683, 1634, 1838, 580, 236, 1572, 2367, 2693, 1234, 2754, 4129, 1765, 665, 511, 357, 6975, 8116, 4202, 215, 633, 937, 9136, 7168, 6941, 92, 7738, 1683, 615, 4049, 287, 8138, 7319, 5005, 8095, 878, 6544, 6922, 1826, 948, 4833, 8085, 5711, 472, 1857, 1294, 5792, 4169, 7290, 1643, 7413, 5874, 6167, 9380, 4057, 813, 989, 3509, 3640, 970, 306, 1520, 3660, 2497, 1806, 7841, 3967, 8369, 2530, 7239, 1144, 1152, 8973, 5820, 6118, 7045, 5211, 8143, 5341, 256]",0.846,0.107,0.725,0.0005875327128508529,1.2216364492086763e-162,True
12,1,1,8,94,"[5943, 8970, 8110, 4848, 1333, 3412, 7000, 1152, 2107, 6054, 805, 9062, 1997, 826, 4618, 730, 2466, 1977, 591, 307, 3567, 764, 5891, 4536, 3473, 1691, 4281, 5454, 1477, 9225, 4835, 8982, 5198, 6831, 4933, 7440, 8990, 1397, 6820, 1030, 6877, 8909, 263, 2548, 7102, 1387, 8216, 5932, 5830, 3893, 8623, 6157, 3810, 5402, 4146, 1, 2783, 4464, 624, 907, 9031, 5953, 9398, 156, 2079, 4342, 1944, 4363, 2629, 3984, 6478, 557, 1495, 2681, 5230, 5178, 6127, 4587, 8644, 1315, 2670, 9215, 8277, 679, 1569, 836, 4689, 5993, 8664, 9153, 2181, 5728, 2967, 181, 1895]",0.847,0.11,0.727,0.002203363165178607,2.4893051566373686e-83,True
13,1,1,8,114,"[22, 2517, 7991, 7017, 1109, 1233, 7665, 4729, 4566, 4462, 4038, 604, 4598, 9247, 3782, 109, 3914, 4240, 2609, 4159, 7045, 4199, 4077, 2192, 7344, 8725, 631, 2130, 2211, 664, 3926, 1385, 7461, 3578, 4875, 131, 7723, 1470, 4557, 8136, 7860, 3751, 6977, 202, 5332, 5259, 7339, 6105, 4974, 7625, 4273, 4525, 7208, 4903, 7258, 2701, 5096, 1260, 6894, 8186, 9388, 7533, 7828, 7764, 83, 8166, 686, 6955, 6034, 4661, 7305, 4403, 1049, 5291, 650, 154, 7922, 2803, 6998, 8236, 1475, 8715, 7138, 3875, 8022, 6982, 7180, 387, 4393, 2242, 5392, 6334, 6785, 5463, 678, 2160, 6582, 2680, 960, 5423, 4964, 6116, 6126, 4132, 116, 7448, 8195, 785, 4994, 4415, 5597, 180, 247, 9357, 8685]",0.844,0.116,0.661,5.7740716977085734e-08,0.0,True
14,1,10,8,17,"[1299, 8650, 6795, 7437, 66, 1008, 214, 7610, 1094, 5184, 2452, 526, 6673, 5245, 4272, 660, 2493, 105]",0.838,0.12,0.742,6.636143229898454e-06,5.478676111565254e-49,True
15,1,0,8,201,"[7064, 2805, 741, 6983, 579, 7737, 7106, 1735, 6962, 83, 4475, 716, 490, 124, 4028, 7450, 813, 3639, 196, 7412, 4291, 326, 3844, 1385, 1475, 4455, 4680, 6901, 255, 1826, 378, 438, 1642, 6954, 102, 346, 4822, 1519, 1488, 6786, 1458, 632, 286, 1765, 4874, 8085, 9420, 1898, 3398, 1928, 7403, 4048, 6995, 9462, 4639, 4854, 3631, 145, 7307, 335, 6893, 510, 1907, 4128, 1000, 1343, 457, 8137, 4332, 7942, 500, 1601, 2283, 7963, 2009, 1233, 7553, 7779, 7718, 4445, 5983, 4701, 4760, 948, 3700, 3191, 3325, 4436, 906, 7706, 8807, 8022, 7319, 665, 5231, 8766, 165, 9441, 1551, 2201, 7901, 7881, 1796, 204, 1785, 9396, 2874, 7086, 7563, 2836, 4301, 8615, 1674, 3824, 9329, 8318, 471, 2558, 7015, 4095, 8254, 3456, 4140, 5221, 877, 4232, 5710, 8972, 6312, 3802, 6941, 7055, 9074, 1682, 3659, 2171, 4618, 3906, 3722, 1090, 6921, 5455, 8063, 989, 8695, 5873, 8073, 7044, 1113, 1200, 6587, 8593, 52, 7290, 936, 1294, 4240, 5504, 825, 6738, 5465, 274, 357, 602, 2000, 1510, 8095, 430, 7478, 7594, 4077, 1021, 3792, 2120, 92, 7167, 2275, 3007, 7207, 2101, 2224, 3474, 9267, 2497, 9483, 866, 9103, 2081, 4395, 5056, 6974, 4811, 2579, 6544, 3162, 4801, 2683, 3211, 8493, 1773, 114, 1633]",0.848,0.122,0.675,3.441883600631019e-05,0.0,True
16,1,0,8,102,"[1481, 1787, 1950, 8800, 5538, 3897, 839, 8668, 7149, 2725, 9035, 3937, 8015, 2307, 8189, 2633, 207, 2470, 3597, 9290, 1043, 4040, 3479, 3459, 3041, 5202, 5253, 5987, 5528, 3948, 4753, 8964, 5773, 5824, 3734, 4978, 2562, 2052, 880, 5732, 8342, 5243, 8790, 5090, 9157, 8505, 1166, 7363, 3989, 6859, 3408, 7190, 9086, 4590, 5957, 94, 7516, 391, 4193, 7455, 4927, 7852, 7251, 5936, 870, 9127, 360, 2511, 9198, 3887, 7618, 8760, 5406, 5661, 8872, 3652, 68, 6028, 1278, 4060, 8546, 4784, 604, 9168, 3296, 941, 6873, 6772, 1991, 8994, 5610, 2195, 8301, 8923, 7210, 8046, 8597, 8464, 4356, 1745, 9219, 1685, 2429]",0.847,0.124,0.691,2.2435384468459027e-05,9.585446028225953e-297,True
17,1,5,8,20,"[7469, 8909, 6709, 5293, 3764, 3120, 3683, 7983, 8451, 8482, 8024, 8372, 4722, 1465, 5972, 5914, 4618, 7774, 8645, 5070, 269]",0.842,0.129,0.799,4.0473912866938504e-05,7.58756564634148e-42,True
18,1,2,8,122,"[8814, 8044, 1923, 4370, 1473, 2139, 1822, 7222, 174, 3817, 1063, 5972, 1985, 3857, 3661, 3717, 7453, 811, 5389, 593, 5552, 615, 5163, 4899, 693, 8651, 4717, 1894, 1102, 1198, 1486, 6215, 4696, 4782, 5736, 277, 7088, 8305, 471, 379, 8508, 671, 238, 3738, 9283, 2032, 2637, 1327, 8117, 723, 2107, 7463, 7774, 6041, 9262, 9240, 6980, 1371, 1322, 3607, 4856, 6550, 2127, 530, 9098, 1597, 5348, 430, 1730, 2432, 1345, 744, 1515, 8173, 4674, 2575, 2451, 1497, 1799, 2006, 3640, 49, 7432, 8365, 981, 7815, 8467, 5673, 86, 7305, 6923, 7959, 5225, 7001, 1075, 72, 2616, 7146, 1114, 2473, 9302, 1618, 4912, 5715, 338, 6869, 739, 7384, 5808, 718, 6062, 1659, 5083, 165, 7175, 939, 2546, 2961, 4511, 7572, 104, 5836, 8672]",0.849,0.134,0.682,2.9698798932119513e-06,0.0,True
19,1,0,8,103,"[5622, 6152, 8884, 5897, 7956, 6356, 7997, 7579, 2431, 4884, 8680, 4582, 4368, 5418, 8146, 8466, 5693, 4694, 2523, 2111, 3257, 4225, 5856, 2686, 7492, 2584, 2757, 7834, 3787, 4154, 7171, 6040, 4521, 3094, 5296, 5785, 7936, 8354, 4276, 4745, 8007, 6916, 7681, 7844, 3746, 4480, 9118, 1306, 8721, 2482, 8303, 2268, 3573, 4735, 9322, 2074, 8517, 800, 2319, 6804, 2594, 4572, 2156, 8843, 8792, 9251, 1035, 5214, 2778, 5163, 2890, 322, 8996, 3929, 2472, 7416, 3216, 3440, 6906, 9200, 5326, 5887, 5683, 7742, 2360, 9047, 8262, 5122, 1535, 5846, 7762, 9302, 6682, 5255, 7487, 3644, 2421, 8955, 3756, 6835, 841, 2635, 4918, 3583]",0.847,0.141,0.715,0.0008231637738498811,3.998106825126554e-138,True
20,1,0,8,35,"[9525, 3, 3499, 3519, 7332, 2592, 2072, 7362, 6017, 3611, 8144, 4882, 3571, 7026, 3539, 6629, 6466, 9320, 3652, 798, 4152, 6058, 5049, 1397, 3367, 4794, 1124, 2317, 1725, 3438, 5375, 8056, 8464, 8474, 8515, 5171]",0.845,0.142,0.686,6.176060436686399e-05,1.9423239435479392e-72,True
21,1,0,8,74,"[3861, 518, 8111, 1007, 6471, 365, 7031, 2903, 3005, 6634, 3158, 6532, 5288, 803, 3107, 5635, 3209, 4452, 6267, 7444, 3066, 7234, 3708, 6124, 4024, 2699, 1139, 8897, 5227, 6185, 477, 2210, 1628, 1914, 7225, 8173, 1771, 3229, 1884, 1506, 3372, 2536, 5451, 317, 2444, 6736, 6583, 1812, 4849, 4911, 680, 925, 6929, 8571, 7123, 7714, 7653, 243, 5961, 5869, 4085, 444, 6308, 7144, 2995, 7072, 3311, 6695, 2373, 8734, 6491, 3963, 1649, 3270, 5217]",0.848,0.146,0.733,2.10527015048696e-05,3.90827840239461e-208,True
