ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
23,2,"2,3",60,323,"[16, 176, 208, 313, 345, 436, 468, 556, 588, 675, 707, 802, 834, 866, 898, 930, 962, 994, 1096, 1128, 1160, 1192, 1224, 1256, 1331, 1363, 1395, 1427, 1459, 1491, 1562, 1594, 1626, 1658, 1690, 1722, 1754, 1786, 1818, 1850, 1882, 1914, 1946, 1978, 2010, 2042, 2074, 2106, 2138, 2170, 2202, 2234, 2266, 2298, 2330, 2362, 2394, 2426, 2458, 2490, 2522, 2554, 2586, 2618, 2650, 2682, 2714, 2802, 2834, 2866, 2898, 2930, 2962, 2994, 3026, 3058, 3090, 3122, 3154, 3186, 3218, 3250, 3282, 3314, 3346, 3378, 3410, 3442, 3474, 3506, 3538, 3570, 3602, 3634, 3666, 3698, 3730, 3762, 3794, 3826, 3858, 3890, 3922, 3954, 3986, 4018, 4050, 4082, 4114, 4146, 4178, 4210, 4242, 4274, 4306, 4338, 4370, 4402, 4434, 4466, 4498, 4530, 4562, 4594, 4626, 4658, 4690, 4722, 4754, 4786, 4818, 4850, 4882, 4914, 4946, 4978, 5010, 5042, 5074, 5106, 5138, 5170, 5202, 5234, 5266, 5298, 5330, 5362, 5394, 5426, 5458, 5490, 5522, 5554, 5586, 5618, 5650, 5682, 5714, 5746, 5778, 5810, 5842, 5874, 5906, 5938, 5970, 6002, 6034, 6066, 6098, 6130, 6162, 6194, 6226, 6258, 6290, 6322, 6354, 6386, 6418, 6450, 6482, 6514, 6546, 6578, 6610, 6642, 6674, 6706, 6738, 6770, 6802, 6834, 6866, 6898, 6930, 6962, 6994, 7026, 7058, 7090, 7122, 7154, 7186, 7218, 7250, 7282, 7314, 7346, 7378, 7410, 7442, 7474, 7506, 7538, 7570, 7602, 7634, 7666, 7698, 7730, 7762, 8091, 8860, 8892, 8924, 8956, 8988, 9020, 9052, 10134, 10166, 10198, 10230, 10262, 10294, 10326, 10731, 10763, 10795, 10951, 10983, 11015, 11047, 11079, 11111, 11143, 11175, 11207, 11271, 11303, 11335, 11367, 11399, 11431, 11463, 11495, 11527, 11559, 11591, 11623, 11655, 11687, 11719, 11751, 11783, 11815, 11847, 11879, 11911, 11943, 11975, 12007, 12039, 12071, 12182, 12214, 12571, 12603, 12635, 12667, 12699, 12731, 12763, 12795, 12827, 12859, 12891, 12923, 12955, 12987, 13019, 13051, 13083, 13115, 13147, 13179, 13211, 13243, 13275, 13307, 13339, 13371, 13403, 13435, 13467, 13499, 13531, 13563, 13595, 13627, 13659, 13691, 13723, 13755, 13787, 13819, 13851, 13883, 13915, 13947, 13979, 14011]",0.0,0.0,0.0,0.5488701408895039,2.2984581672355145e-10,False
24,2,"3,5",60,3,"[524, 1812, 5700, 6320]",0.0,0.0,0.0,0.33799066854792875,1.0000000000000002,False
25,2,"3,5",60,15,"[2746, 2069, 2778, 3065, 3755, 3787, 4134, 4849, 4881, 4969, 5289, 5671, 7149, 7181, 7213, 7245]",0.0,0.0,0.0,0.3382077067440334,1.0,False
26,2,"2,3",60,9,"[7778, 8093, 9080, 12234, 10354, 11210, 10803, 12076, 9386, 9590]",2.182,0.0,0.0,8.240056161079475e-05,1.7963123088558295e-21,True
27,2,"2,4",60,2,"[8455, 6719, 7615]",0.0,0.0,0.0,0.010961309507000394,0.8880551519633948,False
28,2,"0,3",60,2,"[8671, 12705, 12785]",0.0,0.0,0.0,0.13816093197786825,0.9999999999999979,False
29,2,"0,3",60,31,"[8687, 12708, 12788, 12820, 12852, 12884, 12916, 12948, 13017, 13049, 13081, 13113, 13145, 13177, 13209, 13241, 13273, 13305, 13337, 13369, 13401, 13433, 13465, 13497, 13529, 13599, 13631, 13663, 13728, 13760, 13982, 14014]",0.0,0.0,0.0,0.13818686656269313,0.9999994242595696,False
30,2,"0,3",60,19,"[8719, 13539, 13668, 13779, 14033, 11563, 10074, 116, 11188, 8800, 11437, 11313, 11687, 11783, 2381, 842, 5440, 2950, 6377, 11968]",2.037,0.0,0.072,0.13821226856022303,0.9999999999982747,False
31,2,"2,5",60,2,"[9525, 4964, 6531]",0.0,0.0,0.0,0.0588736432949599,0.9999999997988774,False
32,2,"2,5",60,1,"[9541, 4653]",0.0,0.0,0.0,0.05725153943763739,0.9999999999710798,False
33,2,"2,5",60,6,"[10700, 2068, 3064, 4968, 5288, 7148, 0]",1.38,0.0,0.0,0.09662791522033008,0.999999999999952,False
34,2,"1,3",60,10,"[1018, 1267, 2049, 3092, 1503, 2568, 5591, 139, 276, 6467, 10101]",2.246,0.0,1.284,1.3302991002423309e-05,1.23437713724644e-32,True
35,2,"2,3",60,9,"[49, 1017, 483, 1267, 360, 223, 721, 603, 1501, 2741]",1.083,0.045,0.487,3.172633454568326e-05,1.3135932952076648e-25,True
36,3,"3,0,1",60,9,"[1034, 11756, 11381, 11631, 11507, 6483, 2065, 3108, 5603, 2584]",1.652,0.223,1.386,6.3170611730183665e-12,1.3036527988362542e-92,True
37,3,"2,0,1",60,10,"[11255, 11630, 11380, 11755, 11505, 5601, 3107, 6481, 2064, 2582, 12513]",2.174,0.291,1.476,3.4141675557320567e-06,3.944043998476343e-39,True
38,2,"3,2",60,9,"[297, 1080, 10118, 786, 420, 160, 540, 8844, 658, 1318]",1.917,0.057,0.218,4.9432801748035634e-05,1.0995266768469706e-23,True
39,2,"3,2",60,7,"[9874, 491, 1025, 368, 729, 231, 610, 57]",0.602,0.08,0.371,1.4395891345970578e-05,1.0026318000454606e-22,True
40,2,"2,5",60,29,"[7854, 7893, 7939, 7974, 8009, 8052, 12174, 12369, 8084, 12417, 12208, 12138, 8143, 12333, 12289, 12450, 8206, 12246, 7822, 12495, 8175, 8240, 8549, 12106, 8472, 1, 9728, 9786, 12529, 3951]",2.307,0.084,1.06,0.0004648693280325096,1.7145050067490243e-53,True
41,2,"3,0",60,16,"[86, 11781, 11406, 2090, 6508, 11656, 3133, 11281, 5627, 9907, 2609, 11532, 12631, 8623, 13858, 10962, 252]",1.656,0.134,0.603,0.16852869182851435,1.0000000000000007,False
42,2,"2,1",60,16,"[8533, 2044, 12752, 2563, 3087, 5582, 8260, 12495, 8100, 8019, 6462, 10558, 8180, 9813, 9465, 9331, 12111]",2.317,0.155,1.041,2.270571003048308e-09,6.1055719788575516e-117,True
43,2,"3,2",60,5,"[8828, 144, 10102, 281, 772, 1066]",1.772,0.164,0.325,1.8849044594925123e-05,6.371585587933214e-16,True
44,3,"2,1,0",60,4,"[11226, 11601, 11351, 11726, 11476]",2.161,0.687,1.136,4.2554514801320416e-08,2.5829397120681762e-26,True
45,2,"2,0",60,17,"[9830, 11638, 11388, 11263, 3115, 12521, 2072, 5609, 11763, 8560, 6490, 11512, 2591, 10686, 8031, 13840, 12138, 12418]",2.136,0.19,0.381,7.765848393230248e-05,1.3812953262774245e-42,True
46,2,"2,0",60,22,"[9847, 11655, 11280, 11405, 12538, 5626, 3132, 2089, 11780, 11529, 9117, 6507, 10392, 7815, 2608, 12630, 12399, 13857, 10960, 10702, 12434, 12154, 9608]",2.263,0.214,0.667,0.0001755590434462138,2.374153381513558e-48,True
47,4,"3,0,2,1",60,1,"[641, 522]",1.228,1.228,1.228,2.6348630150750295e-21,7.619119461136502e-37,True
