ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
27,3,"2,3,4",60,4,"[6703, 7600, 4271, 6023, 7073]",1.996,0.0,0.978,0.07036610666080506,0.9999999999999982,False
28,3,"2,3,4",60,3,"[6719, 7615, 6071, 4816]",1.996,0.0,1.956,0.06924720971621405,0.9999999999999992,False
29,3,"0,2,3",60,1,"[12774, 12694]",0.0,0.0,0.0,0.2619180604127809,1.0,False
30,3,"0,2,3",60,2,"[13941, 13558, 13687]",0.0,0.0,0.0,0.2592432132209605,0.9999999999999979,False
31,3,"0,2,3",60,2,"[13957, 13574, 13703]",0.0,0.0,0.0,0.25924321322096044,1.0000000000000022,False
32,3,"0,2,3",60,3,"[13973, 13590, 13719, 11957]",1.498,0.0,0.0,0.2592432132209605,0.9999999999999979,False
33,3,"2,3,5",60,1,"[2153, 2544]",0.0,0.0,0.0,0.30454341282738157,0.9999999999999925,False
34,3,"2,3,5",60,1,"[3135, 5930]",0.0,0.0,0.0,0.30462158674122913,0.9999999999999929,False
35,3,"2,3,5",60,4,"[4365, 4902, 7020, 6668, 2023]",1.594,0.0,1.594,0.3047820646360075,1.0000000000000302,False
36,3,"2,3,0",60,15,"[11563, 14033, 13539, 13668, 13779, 11188, 11437, 11313, 11687, 11783, 2381, 842, 5440, 2950, 6377, 11968]",1.358,0.017,0.065,0.2859547381713545,1.0,False
37,3,"1,2,3",60,5,"[2047, 2566, 3090, 5585, 6465, 10800]",1.407,0.034,0.942,6.752661478823134e-05,0.0004581460551250544,True
38,4,"2,3,1,0",60,12,"[885, 6420, 5482, 2423, 2992, 12216, 11966, 1, 12044, 11480, 11730, 11355, 11605]",3.114,0.087,2.797,1.0389866155140463e-10,2.2567465895833014e-86,True
39,4,"2,3,0,1",60,13,"[3110, 2067, 11383, 11633, 11758, 11507, 5604, 6485, 2586, 13835, 11258, 1036, 12060, 12608]",3.211,0.122,1.831,4.293463401528134e-12,9.979788498202989e-113,True
40,4,"2,3,1,0",60,12,"[11399, 11774, 11649, 11274, 11525, 3126, 2083, 6501, 5620, 2602, 12628, 13851, 10956]",2.935,0.205,1.437,7.764481109963001e-05,1.8601061562495324e-10,True
