s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
4,45,"(np.float64(63.0), np.float64(42.014066908379846))","(np.float64(1.0888888888888888), np.float64(0.28779903201415186))",0.01831261985527597,4.284755835489022e-15,36,80.0,39
6,80,"(np.float64(20.1875), np.float64(25.536815692176706))","(np.float64(1.0375), np.float64(0.19118219820734467))",0.002001106611938335,0.0003163855916304802,48,60.0,54
12,62,"(np.float64(12.983870967741936), np.float64(17.5550580591033))","(np.float64(1.032258064516129), np.float64(0.17812704394997528))",1.3163805109102609e-05,7.964686877236023e-13,57,91.93548387096774,57
24,70,"(np.float64(4.485714285714286), np.float64(3.4420370491351555))","(np.float64(1.0142857142857142), np.float64(0.11952286093343938))",1.866417710168079e-09,1.0208777379030205e-22,69,98.57142857142857,70
