s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
30,121,"(np.float64(37.30578512396694), np.float64(62.946649761948755))","(np.float64(2.677685950413223), np.float64(0.7551476239016433))",0.07283617994870212,1.0,24,19.834710743801654,24
60,58,"(np.float64(30.948275862068964), np.float64(79.20668552630464))","(np.float64(2.7241379310344827), np.float64(0.833363580818265))",0.04897637037997417,0.9197068312397468,27,46.55172413793103,27
300,11,"(np.float64(19.0), np.float64(29.52625949896126))","(np.float64(2.272727272727273), np.float64(1.1037127426019047))",3.0029131839205445e-07,3.6222215817660306e-14,10,90.9090909090909,10
600,9,"(np.float64(11.0), np.float64(13.647344063956181))","(np.float64(1.8888888888888888), np.float64(1.0540925533894598))",2.4575707736014325e-07,1.2372546416126593e-21,9,100.0,9
