s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
4,68,"(np.float64(40.76470588235294), np.float64(32.46036280825504))","(np.float64(1.0441176470588236), np.float64(0.20688330616678674))",0.004322048379518803,1.494345743012692e-17,55,80.88235294117646,55
6,82,"(np.float64(17.76829268292683), np.float64(18.722336815005594))","(np.float64(1.0731707317073171), np.float64(0.26201912119830506))",0.0006370260077662173,8.567229656649811e-08,67,81.70731707317073,69
12,51,"(np.float64(11.96078431372549), np.float64(12.317403597047106))","(np.float64(1.1372549019607843), np.float64(0.40097919363165246))",1.0664018846971745e-06,2.197295034270087e-32,48,94.11764705882354,49
24,11,"(np.float64(3.4545454545454546), np.float64(0.6875516509523286))","(np.float64(1.0), np.float64(0.0))",1.979756556532285e-11,7.532389236941284e-30,11,100.0,11
