s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
21,100,"(np.float64(4.56), np.float64(2.016697971207069))","(np.float64(1.03), np.float64(0.17144660799776532))",9.662277514986192e-10,2.8617316666463196e-29,100,100.0,100
43,28,"(np.float64(3.5714285714285716), np.float64(0.959497222838566))","(np.float64(1.0), np.float64(0.0))",8.70611256473178e-19,4.295489535684732e-50,28,100.0,28
130,1,"(np.float64(3.0), np.float64(nan))","(np.float64(1.0), np.float64(nan))",3.2727623247382816e-54,1.7444506282724474e-155,1,100.0,1
