s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
21,47,"(np.float64(29.72), np.float64(26.107))","(np.float64(3.85), np.float64(1.285))",7.355766304640612e-41,0.0,47,100.0,47
43,53,"(np.float64(14.98), np.float64(17.3))","(np.float64(4.3), np.float64(1.462))",1.1415139968624513e-110,0.0,53,100.0,53
130,25,"(np.float64(13.2), np.float64(12.052))","(np.float64(3.84), np.float64(1.434))",2.6812144162296225e-233,0.0,25,100.0,25
217,22,"(np.float64(8.32), np.float64(5.349))","(np.float64(3.91), np.float64(1.509))",0.0,0.0,22,100.0,22
