s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
30,100,"(np.float64(13.1), np.float64(17.38715420398437))","(np.float64(3.34), np.float64(0.535978289926679))",0.03977916991134639,0.9999999997222364,16,16.0,16
60,55,"(np.float64(15.454545454545455), np.float64(43.33752893441682))","(np.float64(2.8181818181818183), np.float64(0.6963106238227913))",0.003925709581820795,9.975205232064896e-09,28,50.90909090909091,28
300,4,"(np.float64(48.75), np.float64(32.42812565248465))","(np.float64(1.75), np.float64(0.9574271077563381))",0.08882925233667432,3.3893350726170717e-23,3,75.0,3
600,4,"(np.float64(22.25), np.float64(13.889444433333777))","(np.float64(2.0), np.float64(1.4142135623730951))",0.008612890294687123,7.4615856035332345e-37,4,100.0,4
