s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
21,349,"(np.float64(4.54727793696275), np.float64(4.177962818911536))","(np.float64(1.0573065902578798), np.float64(0.3254257520543233))",1.237690611795356e-09,3.239641813916071e-22,349,100.0,349
43,135,"(np.float64(3.2814814814814817), np.float64(1.8023693024090388))","(np.float64(1.0888888888888888), np.float64(0.3952453737523526))",1.3840243608383006e-15,3.5112283447135745e-39,135,100.0,135
130,28,"(np.float64(3.0), np.float64(1.247219128924647))","(np.float64(1.5), np.float64(0.9622504486493763))",5.376890799723391e-44,1.615205776650713e-156,28,100.0,28
217,12,"(np.float64(2.75), np.float64(0.7537783614444091))","(np.float64(1.5833333333333333), np.float64(0.9962049198956221))",9.390658421864003e-75,1.4461906542085341e-218,12,100.0,12
