ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
42,1,1,6,14,"[662, 338, 1732, 1452, 1093, 675, 1130, 1522, 1491, 985, 925, 1229, 531, 444, 76]",0.734,0.367,0.596,0.00278163796984387,4.248097577135043e-10,True
43,1,2,6,5,"[207, 32, 946, 447, 1519, 274]",0.708,0.415,0.673,0.009499344879172951,0.5292977382300709,False
44,1,1,6,1,"[540, 577]",0.427,0.427,0.427,0.006174224584506693,0.8931139263543311,False
45,1,2,6,1,"[1282, 1377]",0.445,0.445,0.445,0.013178388429286219,0.9973626403466952,False
46,1,2,6,1,"[1794, 1527]",0.474,0.474,0.474,0.004338929437651111,0.7462271378350164,False
47,1,1,6,1,"[1162, 347]",0.519,0.519,0.519,0.020582531289869695,0.9999611851775112,False
48,1,1,6,2,"[1403, 883, 98]",0.695,0.529,0.612,0.00042734351506947563,0.0024776944754069372,True
49,1,0,6,4,"[154, 461, 955, 581, 1157]",0.71,0.542,0.604,0.0003209327658757846,2.086852482727073e-06,True
50,1,0,6,4,"[1332, 730, 667, 950, 1050]",0.724,0.551,0.687,0.0019041720835059667,0.006952596977399947,True
51,1,0,6,2,"[1740, 1798, 1127]",0.659,0.585,0.622,0.00024747863616241434,0.0005221757727536128,True
0,2,"0,1",12,3,"[1607, 1655, 1631, 1151]",0.895,0.095,0.406,1.1382515773205585e-05,6.07542715825559e-12,True
1,2,"1,2",12,32,"[1538, 1586, 1562, 314, 650, 435, 723, 290, 123, 794, 531, 99, 915, 411, 1371, 268, 1346, 1444, 963, 362, 170, 1323, 1466, 2, 698, 483, 1514, 458, 842, 26, 50, 146, 1491]",1.034,0.221,0.9,1.893065642380303e-11,3.2253020996801e-310,True
