ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
18,1,2,24,44,"[865, 169, 1681, 1082, 361, 242, 578, 49, 193, 74, 914, 722, 385, 410, 1370, 771, 746, 1225, 625, 697, 1754, 793, 553, 122, 99, 1706, 530, 889, 1322, 505, 1466, 1154, 25, 145, 603, 267, 457, 1, 1730, 314, 1418, 1657, 217, 1297, 1345]",2.28,1.276,1.98,8.234347080053574e-07,5.794967458124165e-184,True
19,1,2,24,30,"[1212, 1429, 1187, 828, 444, 35, 1813, 515, 1044, 348, 11, 132, 1452, 683, 1356, 323, 371, 299, 1092, 1692, 275, 1524, 1619, 1668, 564, 852, 204, 253, 589, 875, 228]",2.622,1.342,2.209,5.952033303310944e-07,1.4743414520486982e-126,True
20,1,2,24,19,"[1034, 1202, 1443, 217, 1177, 1130, 338, 673, 842, 1514, 889, 818, 25, 434, 121, 266, 1419, 1, 603, 289]",2.489,1.367,2.347,8.42494504929625e-06,2.245117522850748e-55,True
21,1,2,24,6,"[1391, 1582, 1559, 142, 287, 1462, 1703]",2.0,1.55,1.861,5.7151395434334186e-08,2.746964570562574e-32,True
22,1,2,24,40,"[545, 1217, 161, 234, 66, 41, 1673, 185, 1818, 402, 1530, 833, 449, 377, 1242, 1746, 1410, 1771, 329, 594, 1458, 689, 738, 1649, 763, 474, 931, 137, 258, 1722, 1193, 617, 714, 17, 90, 305, 1313, 1003, 1361, 1697, 1169]",2.799,1.604,2.414,4.200830673640063e-06,4.492500490886243e-137,True
23,1,2,24,10,"[1401, 152, 993, 1114, 1066, 802, 297, 1472, 1640, 320, 536]",1.948,1.617,1.913,1.5282730922890147e-06,2.058302674762667e-36,True
24,1,2,24,12,"[1260, 201, 419, 153, 1474, 705, 1378, 1763, 321, 251, 369, 1715, 994]",2.155,1.672,2.008,0.0033224088653520914,0.009889208617378431,False
25,1,2,24,27,"[1806, 1662, 487, 1422, 607, 510, 654, 1783, 126, 1710, 1255, 198, 1686, 342, 102, 775, 221, 1205, 944, 365, 1037, 414, 390, 246, 557, 1349, 581, 1181]",2.693,1.778,2.494,4.296625845626349e-10,3.483384913386755e-201,True
26,1,2,24,5,"[666, 1171, 1269, 1435, 1506, 1027]",2.42,1.893,2.314,6.455727703646726e-08,3.81925895016453e-27,True
27,1,2,24,2,"[961, 1059, 1537]",2.037,1.969,2.003,5.943557842131939e-07,2.1604362652155498e-10,True
0,1,2,168,11,"[190, 694, 1366, 22, 406, 862, 526, 1198, 574, 358, 1510, 1246]",8.918,4.683,8.109,1.425913811644505e-23,1.2896764641307034e-244,True
1,1,2,168,8,"[280, 784, 112, 1624, 615, 952, 1456, 1144, 496]",8.53,4.938,7.624,1.3980098272082144e-23,9.108330686379765e-183,False
2,1,2,168,10,"[233, 737, 65, 1409, 449, 905, 568, 1289, 1097, 1601, 617]",8.682,5.039,7.437,3.262741270199567e-24,5.574036340231947e-231,True
3,1,2,168,12,"[1680, 0, 504, 168, 672, 1344, 1176, 312, 840, 384, 1488, 1032, 120]",9.474,6.209,8.456,3.972307211796931e-42,0.0,True
4,1,2,168,11,"[1558, 1246, 574, 742, 1078, 238, 190, 406, 1390, 694, 910, 22]",10.051,7.254,9.281,1.9644039518997135e-34,0.0,True
