s,#motifs,avg_n_matches,avg_n_features,median_probability,median_pvalue,#sig_motifs(≤0.01),significant,#sig_hochberg
4,50,"(np.float64(31.34), np.float64(24.52454830140109))","(np.float64(1.16), np.float64(0.42185208743524005))",0.001224501630625562,2.922563451250244e-26,44,88.0,44
6,50,"(np.float64(15.48), np.float64(14.11648334539507))","(np.float64(1.08), np.float64(0.3404678653660853))",7.740487512246071e-05,6.595237896494971e-22,50,100.0,50
12,21,"(np.float64(11.19047619047619), np.float64(5.644635042401303))","(np.float64(1.0), np.float64(0.0))",8.481201575111509e-07,1.888134359144799e-31,21,100.0,21
